,paper_id,img_name
0,2106.10823,sources_pdf_concept.pdf
1,2106.10823,sources_pdf_pseudo_lidar.pdf
2,1511.06457,fig_quality_PASCAL_2008_007402_gt_w_gt-eps-converted-to.pdf
3,1511.06457,fig_quality_PASCAL_2008_000992_gt_w_gt-eps-converted-to.pdf
4,1511.06457,fig_quality_PASCAL_2008_006341parsenet_deeplab_w_gt-eps-converted-to.pdf
5,1511.06457,fig_quality_BSDS_317080hed_pas_w_gt-eps-converted-to.pdf
6,1511.06457,fig_quality_BSDS_65132SRF_w_gt-eps-converted-to.pdf
7,1511.06457,fig_quality_BSDS_65074SRF_w_gt-eps-converted-to.pdf
8,1511.06457,fig_quality_BSDS_65074hed_pas_w_gt-eps-converted-to.pdf
9,1511.06457,fig_quality_PASCAL_2008_007402hed_w_gt-eps-converted-to.pdf
10,1511.06457,fig_quality_PASCAL_2008_002273parsenet_deeplab_w_gt-eps-converted-to.pdf
11,1511.06457,fig_quality_BSDS_140075hed_pas_w_gt-eps-converted-to.pdf
12,1511.06457,fig_labeling.pdf
13,1511.06457,fig_quality_PASCAL_2008_000992hed_w_gt-eps-converted-to.pdf
14,1511.06457,fig_all_cmp_2.pdf
15,1511.06457,fig_quality_PASCAL_2008_007402parsenet_deeplab_w_gt-eps-converted-to.pdf
16,1511.06457,fig_quality_BSDS_317080SRF_w_gt-eps-converted-to.pdf
17,1511.06457,fig_quality_PASCAL_2008_006408_gt_w_gt-eps-converted-to.pdf
18,1511.06457,fig_quality_PASCAL_2008_007828_gt_w_gt-eps-converted-to.pdf
19,1511.06457,fig_occ_data_2.pdf
20,1511.06457,fig_quality_BSDS_65074_gt_w_gt-eps-converted-to.pdf
21,1511.06457,fig_quality_PASCAL_2008_006341hed_w_gt-eps-converted-to.pdf
22,1511.06457,fig_quality_PASCAL_2008_006408hed_w_gt-eps-converted-to.pdf
23,1511.06457,fig_quality_PASCAL_2008_007828hed_w_gt-eps-converted-to.pdf
24,1511.06457,fig_quality_PASCAL_2008_000992parsenet_deeplab_w_gt-eps-converted-to.pdf
25,1511.06457,fig_quality_PASCAL_2008_007828parsenet_deeplab_w_gt-eps-converted-to.pdf
26,1511.06457,fig_quality_PASCAL_2008_006408parsenet_deeplab_w_gt-eps-converted-to.pdf
27,1411.3041,figures_dog_image.pdf
28,2007.08146,data_final.png
29,2007.08146,pathh.png
30,2102.04566,figs_AOL_dataset_fcn_703A_AOL-AOriginal_gt2.pdf
31,2102.04566,figs_AOL_dataset_fcn_411A_AOL-AOriginal_pred2.pdf
32,2102.04566,figs_AOL_dataset_fcn_312A_AOL-AOriginal_gt2.pdf
33,2102.04566,figs_AOL_dataset_fcn_703A_AOL-AOriginal_pred2.pdf
34,2102.04566,figs_tree_dataset_fcn_2_0_ARV2_1536_2048_pred2.pdf
35,2102.04566,figs_AOL_dataset_fcn_411A_AOL-AOriginal_gt2.pdf
36,2102.04566,figs_tree_dataset_fcn_ARV2_1536_2048_pred2.pdf
37,2102.04566,figs_AOL_dataset_fcn_312A_AOL-AOriginal_pred2.pdf
38,2102.04566,figs_tree_dataset_fcn_ARV2_1536_2048_gt2.pdf
39,2108.12178,img_visualization.pdf
40,2108.12178,img_cluster.pdf
41,2108.12178,img_inconsistency.pdf
42,2108.12178,img_IOU.pdf
43,1812.02831,cLeAnEd_figure_6.png
44,1812.02831,cLeAnEd_figure_7.png
45,1812.02831,cLeAnEd_figure_76.png
46,1908.05825,appendage2.pdf
47,1908.05825,linLatent.pdf
48,1908.05825,boxbumps.pdf
49,1908.05825,rotLatent.pdf
50,1908.05825,CC.pdf
51,2103.01654,figs_sup_vis_q1_cropped.pdf
52,2103.01654,figs_vis_q4_cropped.pdf
53,2103.01654,figs_partial_example2.pdf
54,2103.01654,figs_illustration_cropped.pdf
55,2103.01654,figs_sup_vis_q2_cropped.pdf
56,2103.01654,figs_sup_vis_q4_cropped.pdf
57,2103.01654,figs_vis_q1_cropped.pdf
58,2103.01654,figs_vis_q2_cropped.pdf
59,2103.01654,figs_partial_example1.pdf
60,2011.08785,segim.png
61,2011.08785,Image4.png
62,2011.08785,Image3.png
63,2011.08785,segim2.png
64,2004.11853,result2.png
65,1410.4393,images_sektionen2.pdf
66,2012.05473,figs_single-triplet-retrieval-AAAI.pdf
67,2012.05473,figure2.pdf
68,2012.05473,figs_relpred-qualitative-AAAI-v3.pdf
69,2012.05473,single-triplet-retrieval.pdf
70,2012.05473,figs_relpred-qualitative-AAAI.pdf
71,2012.05473,relpred-qualitative.pdf
72,1702.05374,virtualWorldEx.png
73,1702.05374,DetectBytracking.png
74,1702.05374,PlacesDA.png
75,1702.05374,DAscenarios6.png
76,2105.07054,figures_attributes.pdf
77,2105.07054,figures_eyeglasses_average_faces.pdf
78,1611.01584,figures_ours_300w_642_ibug_cropped.pdf
79,1611.01584,figures_teaser_039.pdf
80,1611.01584,figures_ours_300w_fullprof_639_ibug_cropped.pdf
81,1611.01584,figures_ours_helen_0229_cropped.pdf
82,1611.01584,figures_ours_300w_648_ibug_cropped.pdf
83,1611.01584,figures_ours_helen_0150_cropped.pdf
84,1611.01584,figures_ours_300w_fullprof_630_ibug_cropped.pdf
85,1611.01584,figures_ours_300w_663_ibug_cropped.pdf
86,1611.01584,figures_ours_helen_0320_cropped.pdf
87,1611.01584,figures_ours_helen_0170_cropped.pdf
88,1611.01584,figures_teaser_646_ibug.pdf
89,1611.01584,figures_ours_300w_651_ibug_cropped.pdf
90,1611.01584,figures_ours_helen_0188_cropped.pdf
91,1611.01584,figures_teaser_015_helen.pdf
92,1611.01584,figures_ours_helen_0129_cropped.pdf
93,1611.01584,figures_ours_helen_0124_cropped.pdf
94,1611.01584,figures_ours_helen_0159_cropped.pdf
95,1611.01584,figures_ours_flickr_030_cropped.pdf
96,2103.01623,CVACT_ourslper_abla1.png
97,2103.01623,CVACT_oursl1_0.png
98,2103.01623,CVACT_oursl1_7.png
99,2103.01623,CVACT_oursl1_abla1.png
100,2103.01623,CVACT_tanlper_abla0.png
101,2103.01623,CVUSA_ourslper_5.png
102,2103.01623,CVUSA_ourslper_2.png
103,2103.01623,CVUSA_xfork_2.png
104,2103.01623,CVACT_grd_2.png
105,2103.01623,CVUSA_xfork_5.png
106,2103.01623,CVACT_xfork_1.png
107,2103.01623,CVACT_xfork_6.png
108,2103.01623,CVUSA_grd_6.png
109,2103.01623,CVUSA_grd_8.png
110,2103.01623,CVACT_pix2pix_6.png
111,2103.01623,CVUSA_pix2pix_0.png
112,2103.01623,CVUSA_oursl1_4.png
113,2103.01623,CVUSA_oursl1_3.png
114,2103.01623,CVACT_pix2pix_1.png
115,2103.01623,CVACT_ourslper_0.png
116,2103.01623,CVACT_ourslper_7.png
117,2103.01623,CVACT_grd_3.png
118,2103.01623,CVUSA_xfork_4.png
119,2103.01623,CVUSA_ourslper_3.png
120,2103.01623,CVUSA_ourslper_4.png
121,2103.01623,CVACT_tanlper_abla1.png
122,2103.01623,CVACT_oursl1_6.png
123,2103.01623,CVACT_oursl1_abla0.png
124,2103.01623,CVACT_ourslper_abla0.png
125,2103.01623,CVACT_oursl1_1.png
126,2103.01623,CVACT_ourslper_6.png
127,2103.01623,CVACT_ourslper_1.png
128,2103.01623,CVUSA_pix2pix_8.png
129,2103.01623,CVUSA_oursl1_2.png
130,2103.01623,CVUSA_pix2pix_6.png
131,2103.01623,CVACT_pix2pix_0.png
132,2103.01623,CVUSA_oursl1_5.png
133,2103.01623,CVUSA_pix2pix_1.png
134,2103.01623,CVACT_xfork_7.png
135,2103.01623,CVACT_xfork_0.png
136,2103.01623,CVUSA_grd_0.png
137,2103.01623,CVACT_ourslper_2.png
138,2103.01623,CVUSA_grd_abla0.png
139,2103.01623,CVACT_tanl1_abla1.png
140,2103.01623,CVACT_grd_abla1.png
141,2103.01623,CVUSA_oursl1_8.png
142,2103.01623,CVUSA_oursl1_abla1.png
143,2103.01623,CVUSA_pix2pix_2.png
144,2103.01623,CVUSA_oursl1_6.png
145,2103.01623,CVUSA_pix2pix_5.png
146,2103.01623,CVUSA_oursl1_1.png
147,2103.01623,CVACT_pix2pix_3.png
148,2103.01623,CVACT_xfork_3.png
149,2103.01623,CVUSA_grd_3.png
150,2103.01623,CVUSA_grd_4.png
151,2103.01623,CVUSA_ourslper_abla1.png
152,2103.01623,CVACT_grd_7.png
153,2103.01623,CVUSA_xfork_0.png
154,2103.01623,CVACT_grd_0.png
155,2103.01623,CVUSA_xfork_7.png
156,2103.01623,CVUSA_xfork_9.png
157,2103.01623,CVUSA_ourslper_0.png
158,2103.01623,CVACT_oursl1_2.png
159,2103.01623,CVUSA_grd_5.png
160,2103.01623,CVUSA_ourslper_abla0.png
161,2103.01623,CVACT_xfork_2.png
162,2103.01623,CVUSA_grd_2.png
163,2103.01623,CVUSA_oursl1_0.png
